Name,User name,Log in,Log out,Cytometer,Serial No.,Duration (in hours)
LSRII,user6,2012-04-13 11:19:24,2012-04-13 14:14:08,LSRII,1,2.9122222222
LSRII,user6,2012-04-13 14:19:17,2012-04-13 20:41:15,LSRII,1,6.3661111111
LSRII,user6,2012-04-17 12:00:03,2012-04-17 17:27:53,LSRII,1,5.4638888889
LSRII,user6,2012-04-18 11:09:08,2012-04-18 13:41:07,LSRII,1,2.5330555556
LSRII,user6,2012-04-18 14:21:05,2012-04-18 17:52:21,LSRII,1,3.5211111111
LSRII,user6,2012-04-19 07:58:54,2012-04-19 08:58:46,LSRII,1,0.9977777778
LSRII,user6,2012-04-19 10:41:15,2012-04-20 12:20:35,LSRII,1,25.6555555556
LSRII,user6,2013-09-25 07:20:22,2013-09-25 07:48:00,LSRII,1,0.4605555556
LSRII,user6,2013-09-26 07:21:48,2013-09-26 07:54:47,LSRII,1,0.5497222222
LSRII,user6,2013-09-27 07:14:42,2013-09-27 07:58:17,LSRII,1,0.7263888889
LSRII,user6,2013-09-30 07:49:07,2013-09-30 08:11:31,LSRII,1,0.3733333333
LSRII,user6,2014-07-15 09:44:58,2014-07-15 09:47:26,LSRII,1,0.0411111111
LSRII,user6,2014-07-17 09:51:13,2014-07-17 10:30:42,LSRII,1,0.6580555556
LSRII,user7,2012-04-20 12:20:45,2012-04-20 21:38:37,LSRII,1,9.2977777778
LSRII,user7,2012-04-20 21:38:42,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user7,2012-04-23 09:23:57,2012-04-23 13:56:11,LSRII,1,4.5372222222
LSRII,user7,2012-04-23 13:56:16,2012-04-23 13:58:56,LSRII,1,0.0444444444
LSRII,user7,2012-04-23 14:29:55,2012-04-23 14:36:09,LSRII,1,0.1038888889
LSRII,user7,2012-04-23 14:37:01,2012-04-23 15:25:38,LSRII,1,0.8102777778
LSRII,user7,2012-04-23 15:25:50,2012-04-23 15:26:38,LSRII,1,0.0133333333
LSRII,user7,2012-04-23 15:26:43,2012-04-23 17:23:53,LSRII,1,1.9527777778
LSRII,user7,2012-04-24 11:27:51,2012-04-24 17:07:17,LSRII,1,5.6572222222
LSRII,user7,2012-04-25 08:40:58,2012-04-25 08:48:36,LSRII,1,0.1272222222
LSRII,user7,2012-04-25 12:21:40,2012-04-25 16:27:55,LSRII,1,4.1041666667
LSRII,user7,2012-04-26 08:00:37,2012-04-26 08:00:43,LSRII,1,0.0016666667
LSRII,user7,2014-07-18 08:40:23,2014-07-18 08:48:46,LSRII,1,0.1397222222
LSRII,user7,2014-07-21 07:55:12,2014-07-21 08:20:41,LSRII,1,0.4247222222
LSRII,user7,2014-07-22 07:32:55,2014-07-22 07:59:21,LSRII,1,0.4405555556
LSRII,user7,2014-07-22 07:59:55,2014-07-22 08:12:13,LSRII,1,0.205
LSRII,user7,2014-07-23 07:54:21,2014-07-23 08:10:56,LSRII,1,0.2763888889
LSRII,user8,2012-04-26 08:00:47,2012-04-26 13:49:24,LSRII,1,5.8102777778
LSRII,user8,2012-04-26 13:52:27,2012-04-26 13:53:54,LSRII,1,0.0241666667
LSRII,user8,2012-04-26 13:54:30,2012-04-26 23:18:25,LSRII,1,9.3986111111
LSRII,user8,2012-04-27 10:38:31,2012-04-28 21:36:09,LSRII,1,34.9605555556
LSRII,user8,2012-04-28 21:36:24,2012-04-28 21:37:54,LSRII,1,0.025
LSRII,user8,2012-04-28 21:38:08,2012-04-28 21:38:55,LSRII,1,0.0130555556
LSRII,user8,2012-04-28 21:38:58,2012-04-30 10:54:40,LSRII,1,37.2616666667
LSRII,user8,2012-04-30 10:54:45,2012-04-30 16:19:50,LSRII,1,5.4180555556
LSRII,user8,2012-04-30 16:19:54,2012-04-30 16:20:14,LSRII,1,0.0055555556
LSRII,user8,2012-04-30 16:20:20,2012-04-30 17:27:08,LSRII,1,1.1133333333
LSRII,user8,2014-07-24 07:32:43,2014-07-24 08:25:34,LSRII,1,0.8808333333
LSRII,user8,2014-07-24 11:21:15,2014-07-24 11:45:28,LSRII,1,0.4036111111
LSRII,user8,2014-07-25 07:28:05,2014-07-25 08:08:43,LSRII,1,0.6772222222
LSRII,user8,2014-07-28 07:13:45,2014-07-28 07:43:49,LSRII,1,0.5011111111
LSRII,user8,2014-07-28 11:18:04,2014-07-28 11:22:07,LSRII,1,0.0675
LSRII,user9,2014-07-29 06:54:40,2014-07-29 07:29:34,LSRII,1,0.5816666667
LSRII,user9,2014-07-29 09:57:39,2014-07-29 11:11:46,LSRII,1,1.2352777778
LSRII,user9,2014-07-30 06:58:34,2014-07-30 07:39:15,LSRII,1,0.6780555556
LSRII,user9,2014-07-31 06:59:57,2014-07-31 07:27:15,LSRII,1,0.455
LSRII,user9,2014-07-31 08:30:35,2014-07-31 08:46:59,LSRII,1,0.2733333333
LSRII,user9,2014-07-31 10:51:48,2014-07-31 10:53:24,LSRII,1,0.0266666667
LSRII,user9,2014-07-31 13:41:10,2014-07-31 13:41:28,LSRII,1,0.005
LSRII,user9,2014-07-31 15:55:23,2014-07-31 15:57:31,LSRII,1,0.0355555556
LSRII,bSebuufu,2014-07-07 14:23:46,2014-07-07 17:24:38,LSRII,1,3.0144444444
LSRII,bSebuufu,2014-07-08 09:40:40,2014-07-08 11:26:30,LSRII,1,1.7638888889
LSRII,user2,2014-01-23 15:35:25,2014-01-24 08:05:21,LSRII,1,16.4988888889
LSRII,user2,2014-01-24 15:22:06,2014-01-24 18:20:44,LSRII,1,2.9772222222
LSRII,user2,2014-07-08 12:23:26,2014-07-08 14:18:50,LSRII,1,1.9233333333
LSRII,user2,2014-07-09 13:13:20,2014-07-09 15:03:13,LSRII,1,1.8313888889
LSRII,user2,2014-07-09 17:24:25,2014-07-09 19:14:02,LSRII,1,1.8269444444
LSRII,user3,2014-07-10 11:29:51,2014-07-10 14:53:44,LSRII,1,3.3980555556
LSRII,user3,2014-07-10 16:36:06,2014-07-10 16:38:27,LSRII,1,0.0391666667
LSRII,user4,2013-09-18 09:11:55,2013-09-18 10:54:35,LSRII,1,1.7111111111
LSRII,user4,2013-09-18 10:56:58,2013-09-18 11:15:28,LSRII,1,0.3083333333
LSRII,user4,2014-01-29 13:26:26,2014-01-29 17:38:00,LSRII,1,4.1927777778
LSRII,user4,2014-01-30 13:02:50,2014-01-30 17:11:39,LSRII,1,4.1469444444
LSRII,user4,2014-07-11 12:11:53,2014-07-11 14:05:23,LSRII,1,1.8916666667
LSRII,user4,2014-07-11 14:39:34,2014-07-11 15:23:19,LSRII,1,0.7291666667
LSRII,user5,2014-07-12 11:04:47,2014-07-12 14:46:52,LSRII,1,3.7013888889
LSRII,user5,2014-07-14 16:26:44,2014-07-14 16:38:02,LSRII,1,0.1883333333
LSRII,user6,2013-09-24 13:25:35,2013-09-24 14:52:48,LSRII,1,1.4536111111
LSRII,user6,2014-07-15 10:48:12,2014-07-15 10:59:34,LSRII,1,0.1894444444
LSRII,user6,2014-07-16 09:50:48,2014-07-16 09:59:39,LSRII,1,0.1475
LSRII,user6,2014-07-16 10:51:06,2014-07-17 09:49:54,LSRII,1,22.98
LSRII,user7,2014-07-21 16:12:12,2014-07-21 17:27:22,LSRII,1,1.2527777778
LSRII,user7,2014-07-22 08:28:24,2014-07-22 08:35:23,LSRII,1,0.1163888889
LSRII,user9,2014-07-30 10:11:30,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user9,2014-07-30 11:55:31,2014-07-30 12:20:42,LSRII,1,0.4197222222
LSRII,user9,2014-07-31 15:57:47,2014-07-31 17:11:13,LSRII,1,1.2238888889
LSRII,user4,2014-07-10 17:19:32,2014-07-10 17:21:52,LSRII,1,0.0388888889
LSRII,user4,2014-07-10 17:22:09,2014-07-10 17:22:52,LSRII,1,0.0119444444
LSRII,user4,2014-07-10 17:27:04,2014-07-10 19:40:49,LSRII,1,2.2291666667
LSRII,user4,2014-07-11 08:27:46,2014-07-11 12:11:32,LSRII,1,3.7294444444
LSRII,user4,2014-07-11 14:05:29,2014-07-11 14:38:44,LSRII,1,0.5541666667
LSRII,user5,2014-07-11 15:24:23,2014-07-11 19:05:32,LSRII,1,3.6858333333
LSRII,user6,2014-07-15 23:10:16,2014-07-16 02:29:20,LSRII,1,3.3177777778
LSRII,user6,2014-07-16 02:34:50,2014-07-16 09:50:37,LSRII,1,7.2630555556
LSRII,user6,2014-07-16 09:59:56,2014-07-16 10:13:50,LSRII,1,0.2316666667
LSRII,bSebuufu,2014-07-03 16:02:10,2014-07-03 18:04:29,LSRII,1,2.0386111111
LSRII,user3,2014-07-10 16:44:43,2014-07-10 17:04:27,LSRII,1,0.3288888889
LSRII,user3,2014-07-10 17:09:49,2014-07-10 17:12:27,LSRII,1,0.0438888889
LSRII,user7,2014-07-21 17:27:29,2014-07-21 22:19:52,LSRII,1,4.8730555556
LSRII,user7,2014-07-23 09:09:28,2014-07-23 10:13:15,LSRII,1,1.0630555556
LSRII,user8,2014-07-25 09:24:27,2014-07-25 11:04:36,LSRII,1,1.6691666667
LSRII,user8,2014-07-25 17:26:38,2014-07-25 23:25:10,LSRII,1,5.9755555556
LSRII,user9,2014-07-30 14:05:27,2014-07-30 15:33:45,LSRII,1,1.4716666667
LSRII,user9,2014-07-30 16:50:54,2014-07-30 23:52:28,LSRII,1,7.0261111111
LSRII,user9,2014-07-30 23:58:05,2014-07-31 01:58:00,LSRII,1,1.9986111111
LSRII,user3,2014-07-10 16:38:36,2014-07-10 16:39:12,LSRII,1,0.01
LSRII,user1,2014-07-01 14:11:33,2014-07-01 14:59:46,LSRII,1,0.8036111111
LSRII,MolecularBiomarkers,2014-07-02 11:38:05,2014-07-02 12:22:49,LSRII,1,0.7455555556
LSRII,bSebuufu,2014-07-03 14:10:47,2014-07-03 14:50:08,LSRII,1,0.6558333333
LSRII,user7,2014-07-22 13:20:57,2014-07-22 16:11:02,LSRII,1,2.8347222222
LSRII,user8,2014-07-23 10:13:25,2014-07-23 12:11:51,LSRII,1,1.9738888889
